measurement_time,x_axis,y_axis,z_axis
5286.76,13810,-683,-1417
5286.77,13727,-487,-1496
5286.78,13703,-350,-1362
5286.79,13733,-439,-1460
5286.8,13728,-774,-1483
5286.81,13666,-201,-1362
5286.82,13703,-324,-1873
5286.83,13578,-781,-1123
5286.84,13613,251,-1890
5286.85,13567,-446,-1110
5286.86,13555,-302,-1291
5286.88,13578,-71,-1557
5286.89,13562,-405,-1250
5286.9,13535,23,-1183
5286.91,13598,-233,-1364
5286.92,13526,-79,-1462
5286.93,13397,45,-1071
5286.94,13427,-152,-1382
5286.95,13365,5,-1076
5286.96,13332,-11,-1019
5286.97,13386,-18,-1222
5286.99,13318,122,-942
5287.0,13367,107,-1317
5287.01,13310,7,-1169
5287.02,13236,259,-769
5287.03,13251,23,-845
5287.04,13286,238,-1207
5287.05,13159,132,-560
5287.06,13197,223,-714
5287.07,13176,94,-1074
5287.08,13056,163,-656
5287.09,13045,66,-790
5287.1,13116,211,-761
5287.11,13062,107,-796
5287.12,13017,303,-610
5287.13,13043,258,-627
5287.14,13029,201,-842
5287.15,12977,304,-552
5287.16,12967,202,-539
5287.17,12994,375,-776
5287.18,12938,190,-241
5287.19,12900,171,-791
5287.199,12873,324,-986
5287.21,12791,164,-207
5287.22,12861,497,-492
5287.23,12903,377,-743
5287.25,12773,363,-517
5287.26,12760,302,-687
5287.27,12670,324,-489
5287.28,12611,345,-410
5287.29,12553,148,-482
5287.3,12496,383,-410
5287.31,12389,290,-424
5287.32,12225,314,-334
5287.33,12145,513,-403
5287.34,12005,212,-252
5287.35,11840,494,-536
5287.36,11700,364,-255
5287.37,11559,335,-209
5287.38,11416,400,-381
5287.4,11205,370,-238
5287.41,11040,357,-331
5287.42,10864,362,-276
5287.43,10673,273,-241
5287.44,10488,401,-199
5287.45,10345,422,-278
5287.46,10175,265,-223
5287.47,9979,533,-212
5287.48,9839,407,-123
5287.49,9677,398,-261
5287.5,9489,486,-132
5287.52,9179,368,-233
5287.53,9072,455,-209
5287.54,8987,387,-241
5287.55,8857,430,-199
5287.56,8730,405,-94
5287.57,8682,383,-237
5287.58,8553,512,-147
5287.59,8479,390,-152
5287.6,8375,429,-97
5287.61,8261,424,-137
5287.62,8237,424,-169
5287.63,8103,516,-138
5287.64,8060,446,-138
5287.65,8020,452,-125
5287.66,7985,409,-106
5287.67,7899,540,-89
5287.68,7842,476,-129
5287.69,7829,522,-79
5287.7,7757,505,-25
5287.71,7692,446,-83
5287.72,7625,479,-83
5287.73,7567,564,-52
5287.74,7512,467,-12
5287.75,7409,483,-42
5287.76,7401,477,-32
5287.78,7272,513,-72
5287.79,7257,496,-5
5287.8,7188,504,-17
5287.81,7145,535,-22
5287.82,7098,511,0
5287.83,7060,521,-11
5287.839,7013,483,-6
5287.85,6949,514,-2
5287.86,6904,551,22
5287.87,6899,464,41
5287.88,6853,582,12
5287.89,6809,507,1
5287.9,6698,493,195
5287.92,6682,584,-112
5287.93,6606,576,121
5287.94,6574,557,50
5287.95,6519,543,27
5287.96,6439,527,28
5287.97,6388,513,124
5287.98,6388,605,45
5287.99,6298,523,115
5288.0,6185,574,137
5288.01,6085,579,37
5288.02,6015,527,199
5288.03,5975,641,125
5288.05,5745,545,168
5288.06,5745,642,128
5288.07,5827,627,130
5288.08,5730,639,282
5288.09,5573,656,130
5288.1,5572,591,156
5288.11,5422,638,136
5288.12,5405,670,247
5288.13,5313,639,80
5288.14,5179,643,275
5288.15,4823,646,237
5288.16,4675,735,167
5288.17,4526,654,287
5288.18,4359,583,202
5288.19,4251,631,210
5288.2,4176,671,267
5288.21,4059,668,299
5288.22,4009,689,315
5288.23,3913,782,325
5288.24,3824,702,350
5288.25,3739,653,328
5288.26,3612,630,454
5288.27,3539,800,239
5288.28,3483,685,339
5288.3,3299,719,527
5288.31,3152,709,546
5288.32,3103,777,342
5288.33,2989,711,758
5288.34,2960,736,566
5288.35,2898,821,567
5288.36,2797,721,745
5288.37,2797,773,562
5288.38,2673,772,752
5288.39,2678,692,635
5288.4,2566,850,826
5288.41,2538,824,700
5288.42,2493,723,690
5288.43,2462,855,849
5288.45,2533,799,594
5288.46,2456,839,696
5288.47,2377,815,701
5288.479,2373,871,745
5288.49,2288,819,764
5288.5,2330,844,692
5288.51,2291,832,765
5288.52,2431,810,806
5288.53,2358,1003,858
5288.54,2306,831,740
5288.55,2174,759,1061
5288.57,1935,858,867
5288.58,1812,886,999
5288.59,1756,774,623
5288.6,1583,985,1099
5288.61,1549,865,787
5288.62,1448,909,838
5288.63,1379,912,769
5288.64,1291,842,937
5288.65,1186,826,801
5288.66,1134,960,722
5288.67,1024,726,972
5288.68,944,918,721
5288.69,807,863,765
5288.7,638,748,843
5288.71,542,994,751
5288.72,431,762,934
5288.73,329,839,816
5288.74,199,825,823
5288.75,32,928,810
5288.76,-119,920,790
