measurement_time,latitude,longitude
45519,47.95356,-81.80898
45520,47.95364,-81.80892
45521,47.95369,-81.80888
45522,47.95377,-81.80884
45523,47.95384,-81.80878
45524,47.95392,-81.80873
45525,47.95402,-81.80865
45526,47.9541,-81.80856
45527,47.9542,-81.80845
45528,47.9543,-81.80832
45529,47.95441,-81.80818
45530,47.95448,-81.80803
45531,47.95456,-81.80787
45532,47.95461,-81.8077
45533,47.95466,-81.80753
45534,47.95471,-81.80734
45535,47.95474,-81.80715
45536,47.95477,-81.80698
45537,47.95479,-81.8068
45538,47.95481,-81.80664
45539,47.95481,-81.80649
45540,47.95484,-81.80634
45541,47.95484,-81.80618
45542,47.95487,-81.80601
45543,47.95489,-81.80582
45545,47.95497,-81.80541
45546,47.95502,-81.80522
45548,47.95517,-81.80487
45549,47.95525,-81.80473
45551,47.95546,-81.80458
45552,47.95551,-81.80454
45553,47.95559,-81.80453
